edad,hombres,mujeres,anyo
0,164055,154852,2025
1,168771,160511,2025
2,176730,166796,2025
3,183572,172782,2025
4,186342,177857,2025
5,197990,187713,2025
6,208082,197557,2025
7,222606,210109,2025
8,234365,221703,2025
9,240803,227945,2025
10,245729,231513,2025
11,243192,229740,2025
12,257360,241964,2025
13,263431,247688,2025
14,268856,253449,2025
15,274054,256785,2025
16,285192,266551,2025
17,277237,257063,2025
18,281081,259967,2025
19,278792,260544,2025
20,281012,261708,2025
21,278747,262264,2025
22,274271,256026,2025
23,275246,259020,2025
24,281504,263833,2025
25,276534,261794,2025
26,272989,257143,2025
27,277608,265038,2025
28,276154,264802,2025
29,278755,267154,2025
30,282602,272023,2025
31,289448,279572,2025
32,295847,287380,2025
33,294169,285620,2025
34,296446,290579,2025
35,298939,295295,2025
36,302641,300221,2025
37,304664,303635,2025
38,309115,310760,2025
39,317434,319438,2025
40,327321,330340,2025
41,336686,339108,2025
42,354257,355454,2025
43,368226,367834,2025
44,384491,383164,2025
45,392991,392231,2025
46,409827,406106,2025
47,415611,408715,2025
48,420017,415425,2025
49,416365,409997,2025
50,411241,407591,2025
51,399462,396586,2025
52,395914,394781,2025
53,387320,388350,2025
54,380076,382660,2025
55,372920,378581,2025
56,366919,375092,2025
57,366465,377261,2025
58,355561,367261,2025
59,349190,364699,2025
60,351146,368475,2025
61,332152,349489,2025
62,317758,338073,2025
63,307434,329312,2025
64,305689,329289,2025
65,294817,319192,2025
66,284915,311522,2025
67,274776,303401,2025
68,253250,282233,2025
69,242253,272728,2025
70,226870,259397,2025
71,224514,256889,2025
72,220153,253006,2025
73,201867,236613,2025
74,192302,228980,2025
75,193833,235979,2025
76,197221,243494,2025
77,174994,219683,2025
78,161132,207381,2025
79,161822,212405,2025
80,147583,197649,2025
81,138396,189686,2025
82,113557,158447,2025
83,98625,141637,2025
84,111124,167449,2025
85,66366,106388,2025
86,68964,113808,2025
87,69677,119348,2025
88,66335,121405,2025
89,57230,106717,2025
90,47789,94632,2025
91,39978,84153,2025
92,32431,71778,2025
93,24363,56354,2025
94,18293,46837,2025
95,12848,34825,2025
96,9200,26679,2025
97,5878,18572,2025
98,3942,13337,2025
99,2597,9088,2025
100,1376,5592,2025
101,821,3543,2025
102,422,2246,2025
103,227,1177,2025
104,116,708,2025
105,108,702,2025
