factor,sexo,edad_min,edad_max,prevalencia,fuente
hipertension,M,15,24,0.015,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,F,15,24,0.006,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,M,25,34,0.021,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,F,25,34,0.025,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,M,35,44,0.061,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,F,35,44,0.037000000000000005,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,M,45,54,0.174,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,F,45,54,0.131,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,M,55,64,0.335,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,F,55,64,0.226,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,M,65,74,0.418,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,F,65,74,0.414,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,M,75,84,0.519,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,F,75,84,0.5429999999999999,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,M,85,120,0.478,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
hipertension,F,85,120,0.581,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,M,15,24,0.008,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,F,15,24,0.006,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,M,25,34,0.006999999999999999,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,F,25,34,0.016,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,M,35,44,0.015,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,F,35,44,0.01,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,M,45,54,0.033,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,F,45,54,0.03,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,M,55,64,0.125,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,F,55,64,0.064,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,M,65,74,0.193,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,F,65,74,0.134,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,M,75,84,0.247,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
diabetes,F,75,84,0.243,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
