codigo,provincia,poblacion,anyo
01,Araba/Álava,341961,2025
02,Albacete,390751,2025
03,Alicante/Alacant,2033566,2025
04,Almería,770554,2025
05,Ávila,160738,2025
06,Badajoz,665155,2025
07,"Balears, Illes",1249844,2025
08,Barcelona,5959941,2025
09,Burgos,362663,2025
10,Cáceres,388190,2025
11,Cádiz,1261420,2025
12,Castellón/Castelló,627620,2025
13,Ciudad Real,494848,2025
14,Córdoba,773163,2025
15,"Coruña, A",1135623,2025
16,Cuenca,199859,2025
17,Girona,830429,2025
18,Granada,945797,2025
19,Guadalajara,285839,2025
20,Gipuzkoa,733149,2025
21,Huelva,538789,2025
22,Huesca,230087,2025
23,Jaén,618143,2025
24,León,448030,2025
25,Lleida,458226,2025
26,"Rioja, La",326803,2025
27,Lugo,326022,2025
28,Madrid,7113886,2025
29,Málaga,1791183,2025
30,Murcia,1586989,2025
31,Navarra,683854,2025
32,Ourense,305278,2025
33,Asturias,1015128,2025
34,Palencia,158702,2025
35,"Palmas, Las",1171547,2025
36,Pontevedra,947818,2025
37,Salamanca,328446,2025
38,Santa Cruz de Tenerife,1087319,2025
39,Cantabria,593623,2025
40,Segovia,158251,2025
41,Sevilla,1977664,2025
42,Soria,90183,2025
43,Tarragona,875530,2025
44,Teruel,136091,2025
45,Toledo,755081,2025
46,Valencia/València,2763996,2025
47,Valladolid,528644,2025
48,Bizkaia,1167233,2025
49,Zamora,165564,2025
50,Zaragoza,998443,2025
51,Ceuta,83567,2025
52,Melilla,87067,2025
