k,basica,avanzada,zcdp,mejor
1,0.1,0.536169268783258,0.4848525912188082,basica
2,0.2,0.7644186213850972,0.6886140424415113,basica
5,0.5,1.2279794592762237,1.0979830131446737,basica
10,1.0,1.767429054344758,1.5674271293851467,basica
20,2.0,2.561129836628095,2.2459660262893477,basica
50,5.0,4.242776779228077,3.6430702122075562,zcdp
100,10.0,6.308230950513409,5.298525912188081,zcdp
200,20.0,9.537262739212633,7.7861404244151124,zcdp
500,50.0,17.012485906166383,13.229830131446738,zcdp
1000,100.0,27.139673170255872,20.174271293851465,zcdp
2000,200.0,44.54206361989754,31.45966026289348,zcdp
5000,500.0,89.75468092632224,58.93070212207557,zcdp
