provincia,personas,epsilon,mediana_real,error_laplace,error_exponencial
28,2903,0.05,45.0,2282.0611748238225,0.7695
28,2903,0.1,45.0,1188.5253817147802,0.3145
28,2903,0.25,45.0,481.4860087471319,0.055
28,2903,0.5,45.0,244.55224278484653,0.0035
28,2903,1.0,45.0,117.63637460699644,0.0
28,2903,2.0,45.0,59.16280915304621,0.0
28,2903,4.0,45.0,29.44963787145474,0.0
12,242,0.05,45.0,2420.9148659353077,15.449
12,242,0.1,45.0,1208.9281620785598,6.887
12,242,0.25,45.0,470.0058634825281,2.3925
12,242,0.5,45.0,242.0206106832686,1.258
12,242,1.0,45.0,117.82846780106367,0.8165
12,242,2.0,45.0,62.38613678937842,0.4285
12,242,4.0,45.0,29.70890457644154,0.1385
52,25,0.05,48.0,2410.3526028315323,29.731
52,25,0.1,48.0,1202.6144069002437,27.6365
52,25,0.25,48.0,483.95900904805194,22.4775
52,25,0.5,48.0,241.6668362794876,15.284
52,25,1.0,48.0,116.8240632127216,6.7545
52,25,2.0,48.0,62.449860154097244,2.5805
52,25,4.0,48.0,29.504580897888125,1.66
