provincia,personas,margen,epsilon,acierto_exponencial,acierto_argmax
28,2903,1183,0.05,1.0,1.0
28,2903,1183,0.1,1.0,1.0
28,2903,1183,0.25,1.0,1.0
28,2903,1183,0.5,1.0,1.0
28,2903,1183,1.0,1.0,1.0
28,2903,1183,2.0,1.0,1.0
28,2903,1183,4.0,1.0,1.0
12,242,102,0.05,0.754,0.9725
12,242,102,0.1,0.9855,1.0
12,242,102,0.25,1.0,1.0
12,242,102,0.5,1.0,1.0
12,242,102,1.0,1.0,1.0
12,242,102,2.0,1.0,1.0
12,242,102,4.0,1.0,1.0
52,25,4,0.05,0.1985,0.243
52,25,4,0.1,0.215,0.2995
52,25,4,0.25,0.303,0.52
52,25,4,0.5,0.49,0.799
52,25,4,1.0,0.7925,0.9705
52,25,4,2.0,0.968,0.998
52,25,4,4.0,1.0,1.0
