mecanismo,centro,densidad
gauss,-2.975,0.0
gauss,-2.925,0.0
gauss,-2.875,0.0
gauss,-2.825,0.0
gauss,-2.775,0.0
gauss,-2.725,0.0
gauss,-2.675,0.0
gauss,-2.625,0.0
gauss,-2.575,0.0
gauss,-2.525,0.0
gauss,-2.475,0.0
gauss,-2.425,0.0
gauss,-2.375,0.0
gauss,-2.325,0.0
gauss,-2.275,0.0
gauss,-2.225,0.0
gauss,-2.175,0.0
gauss,-2.125,0.0
gauss,-2.075,0.0
gauss,-2.025,0.0
gauss,-1.975,0.0
gauss,-1.9249999999999998,0.0
gauss,-1.875,0.0
gauss,-1.8249999999999997,0.0
gauss,-1.775,0.0
gauss,-1.725,0.0
gauss,-1.6749999999999998,0.0
gauss,-1.625,0.0
gauss,-1.5749999999999997,0.0
gauss,-1.525,0.0
gauss,-1.475,0.0
gauss,-1.4249999999999998,0.0
gauss,-1.375,0.0
gauss,-1.3249999999999997,0.0
gauss,-1.275,0.0
gauss,-1.225,0.0
gauss,-1.1749999999999998,4.9999999999999955e-05
gauss,-1.125,9.999999999999991e-05
gauss,-1.0749999999999997,0.0003499999999999997
gauss,-1.025,0.0006000000000000021
gauss,-0.9749999999999999,0.0010499999999999945
gauss,-0.9249999999999998,0.0024000000000000085
gauss,-0.875,0.004450000000000016
gauss,-0.825,0.008649999999999953
gauss,-0.7749999999999999,0.01640000000000006
gauss,-0.7249999999999999,0.02774999999999985
gauss,-0.6749999999999998,0.047200000000000165
gauss,-0.6249999999999998,0.06589999999999964
gauss,-0.5749999999999997,0.1127500000000004
gauss,-0.5249999999999999,0.1678000000000006
gauss,-0.47499999999999987,0.24184999999999873
gauss,-0.4249999999999998,0.33845000000000125
gauss,-0.3749999999999998,0.4579999999999975
gauss,-0.32499999999999973,0.5942000000000021
gauss,-0.2749999999999999,0.7559500000000026
gauss,-0.22499999999999987,0.9359499999999951
gauss,-0.17499999999999982,1.1064000000000038
gauss,-0.12499999999999978,1.2440999999999933
gauss,-0.07499999999999973,1.360750000000005
gauss,-0.02499999999999991,1.430900000000005
gauss,0.025000000000000133,1.4898499999999921
gauss,0.07500000000000018,1.4710000000000052
gauss,0.12500000000000022,1.4157499999999925
gauss,0.17500000000000027,1.3076500000000046
gauss,0.2250000000000001,1.1542000000000041
gauss,0.27500000000000013,0.9926999999999948
gauss,0.3250000000000002,0.831950000000003
gauss,0.3750000000000002,0.6632499999999965
gauss,0.42500000000000027,0.5187000000000018
gauss,0.4750000000000001,0.3942000000000014
gauss,0.5250000000000001,0.2873499999999985
gauss,0.5750000000000002,0.1938000000000007
gauss,0.6250000000000002,0.13224999999999928
gauss,0.6750000000000003,0.08815000000000031
gauss,0.7250000000000001,0.0561000000000002
gauss,0.7750000000000001,0.035249999999999816
gauss,0.8250000000000002,0.020500000000000074
gauss,0.8750000000000002,0.012199999999999935
gauss,0.9250000000000003,0.0060500000000000215
gauss,0.9750000000000001,0.0031000000000000107
gauss,1.025,0.002200000000000008
gauss,1.0750000000000002,0.0006499999999999908
gauss,1.1250000000000004,0.000550000000000002
gauss,1.1750000000000003,0.0003500000000000013
gauss,1.225,0.00010000000000000036
gauss,1.275,0.00010000000000000036
gauss,1.3250000000000002,4.999999999999929e-05
gauss,1.3750000000000004,0.0
gauss,1.4250000000000003,0.0
gauss,1.475,0.0
gauss,1.525,0.0
gauss,1.5750000000000002,0.0
gauss,1.6250000000000004,0.0
gauss,1.6750000000000003,0.0
gauss,1.725,0.0
gauss,1.7750000000000004,0.0
gauss,1.8250000000000006,0.0
gauss,1.8750000000000004,0.0
gauss,1.9250000000000003,0.0
gauss,1.975,0.0
gauss,2.0250000000000004,0.0
gauss,2.0750000000000006,0.0
gauss,2.1250000000000004,0.0
gauss,2.1750000000000003,0.0
gauss,2.225,0.0
gauss,2.2750000000000004,0.0
gauss,2.3250000000000006,0.0
gauss,2.3750000000000004,0.0
gauss,2.4250000000000003,0.0
gauss,2.475,0.0
gauss,2.5250000000000004,0.0
gauss,2.5750000000000006,0.0
gauss,2.6250000000000004,0.0
gauss,2.6750000000000003,0.0
gauss,2.725,0.0
gauss,2.7750000000000004,0.0
gauss,2.8250000000000006,0.0
gauss,2.8750000000000004,0.0
gauss,2.9250000000000003,0.0
gauss,2.975,0.0
laplace,-2.975,0.0
laplace,-2.925,0.0
laplace,-2.875,0.0
laplace,-2.825,0.0
laplace,-2.775,0.0
laplace,-2.725,0.0
laplace,-2.675,0.0
laplace,-2.625,0.0
laplace,-2.575,0.0
laplace,-2.525,0.0
laplace,-2.475,0.0
laplace,-2.425,0.0
laplace,-2.375,0.0
laplace,-2.325,0.0
laplace,-2.275,0.0
laplace,-2.225,0.0
laplace,-2.175,0.0
laplace,-2.125,0.0
laplace,-2.075,0.0
laplace,-2.025,0.0
laplace,-1.975,0.0
laplace,-1.9249999999999998,0.0
laplace,-1.875,0.0
laplace,-1.8249999999999997,0.0
laplace,-1.775,0.0
laplace,-1.725,0.0
laplace,-1.6749999999999998,0.0
laplace,-1.625,0.0
laplace,-1.5749999999999997,0.0
laplace,-1.525,0.0
laplace,-1.475,0.0
laplace,-1.4249999999999998,0.0
laplace,-1.375,0.0
laplace,-1.3249999999999997,0.0
laplace,-1.275,0.0
laplace,-1.225,0.0
laplace,-1.1749999999999998,0.0
laplace,-1.125,0.0
laplace,-1.0749999999999997,0.0
laplace,-1.025,0.0
laplace,-0.9749999999999999,3.75854999999998
laplace,-0.9249999999999998,0.09710000000000034
laplace,-0.875,0.10165000000000037
laplace,-0.825,0.10319999999999946
laplace,-0.7749999999999999,0.10625000000000039
laplace,-0.7249999999999999,0.10609999999999943
laplace,-0.6749999999999998,0.1109500000000004
laplace,-0.6249999999999998,0.11069999999999942
laplace,-0.5749999999999997,0.1115000000000004
laplace,-0.5249999999999999,0.11630000000000042
laplace,-0.47499999999999987,0.12124999999999934
laplace,-0.4249999999999998,0.11865000000000042
laplace,-0.3749999999999998,0.12664999999999932
laplace,-0.32499999999999973,0.13010000000000047
laplace,-0.2749999999999999,0.13005000000000044
laplace,-0.22499999999999987,0.13614999999999927
laplace,-0.17499999999999982,0.13855000000000048
laplace,-0.12499999999999978,0.14409999999999923
laplace,-0.07499999999999973,0.1435500000000005
laplace,-0.02499999999999991,0.15270000000000056
laplace,0.025000000000000133,0.1504499999999992
laplace,0.07500000000000018,0.15715000000000057
laplace,0.12500000000000022,0.15819999999999917
laplace,0.17500000000000027,0.1617000000000006
laplace,0.2250000000000001,0.17120000000000063
laplace,0.27500000000000013,0.1710499999999991
laplace,0.3250000000000002,0.18210000000000065
laplace,0.3750000000000002,0.186199999999999
laplace,0.42500000000000027,0.1917500000000007
laplace,0.4750000000000001,0.1924500000000007
laplace,0.5250000000000001,0.19559999999999894
laplace,0.5750000000000002,0.20445000000000071
laplace,0.6250000000000002,0.2049499999999989
laplace,0.6750000000000003,0.21110000000000076
laplace,0.7250000000000001,0.21845000000000075
laplace,0.7750000000000001,0.2261499999999988
laplace,0.8250000000000002,0.2278500000000008
laplace,0.8750000000000002,0.23449999999999876
laplace,0.9250000000000003,0.23475000000000085
laplace,0.9750000000000001,0.2527500000000009
laplace,1.025,10.003150000000035
laplace,1.0750000000000002,0.0
laplace,1.1250000000000004,0.0
laplace,1.1750000000000003,0.0
laplace,1.225,0.0
laplace,1.275,0.0
laplace,1.3250000000000002,0.0
laplace,1.3750000000000004,0.0
laplace,1.4250000000000003,0.0
laplace,1.475,0.0
laplace,1.525,0.0
laplace,1.5750000000000002,0.0
laplace,1.6250000000000004,0.0
laplace,1.6750000000000003,0.0
laplace,1.725,0.0
laplace,1.7750000000000004,0.0
laplace,1.8250000000000006,0.0
laplace,1.8750000000000004,0.0
laplace,1.9250000000000003,0.0
laplace,1.975,0.0
laplace,2.0250000000000004,0.0
laplace,2.0750000000000006,0.0
laplace,2.1250000000000004,0.0
laplace,2.1750000000000003,0.0
laplace,2.225,0.0
laplace,2.2750000000000004,0.0
laplace,2.3250000000000006,0.0
laplace,2.3750000000000004,0.0
laplace,2.4250000000000003,0.0
laplace,2.475,0.0
laplace,2.5250000000000004,0.0
laplace,2.5750000000000006,0.0
laplace,2.6250000000000004,0.0
laplace,2.6750000000000003,0.0
laplace,2.725,0.0
laplace,2.7750000000000004,0.0
laplace,2.8250000000000006,0.0
laplace,2.8750000000000004,0.0
laplace,2.9250000000000003,0.0
laplace,2.975,0.0
