provincia,personas,error_puntos
28,2903.0,0.0731187421707473
08,2422.0,0.08872844032952244
46,1091.0,0.19224601946729553
41,813.0,0.261965922649779
03,807.0,0.2753920237462435
29,758.0,0.25351726747779185
30,611.0,0.3432419137815199
11,521.0,0.3741010039077948
07,506.0,0.40910547209232606
35,497.0,0.4122385396001868
48,489.0,0.4081737869756854
38,479.0,0.4340983152682723
15,445.0,0.4384963815628009
33,405.0,0.5043428764965855
50,402.0,0.4887033274232621
36,389.0,0.5201060247276754
18,365.0,0.5620565274256755
43,356.0,0.576119988341732
17,337.0,0.6643657314692368
45,331.0,0.5806148103098815
14,309.0,0.6549523937716135
04,303.0,0.6959717277496847
06,285.0,0.7456494728470165
20,285.0,0.7588914255142286
31,285.0,0.7291835433408409
39,274.0,0.7410225470908249
12,242.0,0.8314770975563679
23,238.0,0.8764322102778269
21,235.0,0.8665213438169782
47,223.0,0.8887932325687948
25,183.0,1.1128375303178364
13,171.0,1.2142758864772676
24,165.0,1.257684536197795
02,162.0,1.2312263072222196
10,158.0,1.2725687119362983
09,158.0,1.3254243752284751
01,147.0,1.4093220278070195
26,138.0,1.4551610298365725
27,133.0,1.5538755653403034
37,127.0,1.6106096509336172
32,124.0,1.6494813425455028
22,114.0,1.8265596530115946
19,108.0,1.8460636459240194
16,74.0,2.9105851712095205
34,72.0,2.749335840467822
05,69.0,2.9171312283550312
49,67.0,2.977660350010055
40,63.0,2.928834471500342
44,50.0,3.8431615760871267
42,45.0,3.8913710509067063
51,41.0,4.264018330514252
52,25.0,6.456033695533794
