parametro,elementos,magnitud_tipica,discrepancia_bien,factor_mal
red.0.weight,2129920,0.006379351019859314,3.5762786865234375e-07,256.0
red.0.bias,32768,0.1066393256187439,2.384185791015625e-07,256.0
red.1.weight,32768,0.013121525757014751,1.043081283569336e-07,255.99998474121094
red.1.bias,32768,0.016355358064174652,4.470348358154297e-08,256.0
red.3.weight,4194304,0.016963591799139977,2.384185791015625e-07,256.0
red.3.bias,32768,0.04185131937265396,7.450580596923828e-08,256.0
red.4.weight,32768,0.013565256260335445,5.960464477539063e-08,256.0
red.4.bias,32768,0.016616124659776688,1.6763806343078613e-08,256.0
red.6.weight,98304,0.1811874359846115,7.152557373046875e-07,256.0
red.6.bias,768,0.4481738209724426,1.1920928955078125e-07,256.0
