tamano,frecuencia
430,0
431,1
432,3
433,0
434,2
435,1
436,0
437,0
438,1
439,0
440,0
441,2
442,1
443,1
444,2
445,1
446,1
447,0
448,4
449,1
450,2
451,1
452,2
453,1
454,9
455,1
456,6
457,6
458,9
459,7
460,7
461,2
462,10
463,7
464,6
465,8
466,8
467,11
468,8
469,9
470,13
471,10
472,5
473,10
474,14
475,7
476,12
477,8
478,9
479,9
480,13
481,14
482,10
483,7
484,9
485,7
486,10
487,11
488,11
489,11
490,9
491,11
492,7
493,7
494,10
495,4
496,8
497,5
498,5
499,10
500,10
501,5
502,6
503,6
504,4
505,6
506,4
507,3
508,5
509,6
510,6
511,8
512,4
513,2
514,3
515,4
516,4
517,2
518,1
519,4
520,1
521,3
522,2
523,1
524,2
525,0
526,2
527,2
528,1
529,1
530,0
531,2
532,3
533,0
534,1
535,0
536,1
537,0
538,0
539,1
540,2
541,0
542,1
543,0
544,1
545,2
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,1
