C,lr,epsilon,exactitud
0.1,0.25,2.9959505413924186,0.5483055715106261
0.1,0.5,2.9959505413924186,0.5488799540493969
0.1,1.0,2.9959505413924186,0.5540493968983343
0.1,2.0,2.9959505413924186,0.5587593337162551
0.3,0.25,2.9959505413924186,0.5539345203905801
0.3,0.5,2.9959505413924186,0.560137851809305
0.3,1.0,2.9959505413924186,0.5612866168868467
0.3,2.0,2.9959505413924186,0.5622056289488799
1.0,0.25,2.9959505413924186,0.5635841470419299
1.0,0.5,2.9959505413924186,0.5632395175186674
1.0,1.0,2.9959505413924186,0.5635841470419299
1.0,2.0,2.9959505413924186,0.561516369902355
3.0,0.25,2.9959505413924186,0.5633543940264216
3.0,0.5,2.9959505413924186,0.5622056289488799
3.0,1.0,2.9959505413924186,0.5641585295807008
3.0,2.0,2.9959505413924186,0.5624353819643882
10.0,0.25,2.9959505413924186,0.5441700172314762
10.0,0.5,2.9959505413924186,0.5535898908673176
10.0,1.0,2.9959505413924186,0.5396898334290637
10.0,2.0,2.9959505413924186,0.5314187248707639
