escenario,fpr,tpr
"sin DP, sin recorte",0.0,0.0
"sin DP, sin recorte",0.004480183802412407,0.005973578403216542
"sin DP, sin recorte",0.011372774267662263,0.011372774267662263
"sin DP, sin recorte",0.018035611717403793,0.015967834577828834
"sin DP, sin recorte",0.02263067202757036,0.02044801838024124
"sin DP, sin recorte",0.026995979322228605,0.025962090752441127
"sin DP, sin recorte",0.03067202757036186,0.029753015508328547
"sin DP, sin recorte",0.03457782883400345,0.03492245835726594
"sin DP, sin recorte",0.04009190120620333,0.03894313612866169
"sin DP, sin recorte",0.04422745548535324,0.04353819643882826
"sin DP, sin recorte",0.04732912119471568,0.04859276278001149
"sin DP, sin recorte",0.051234922458357264,0.05318782309017806
"sin DP, sin recorte",0.055829982768523835,0.058701895462377945
"sin DP, sin recorte",0.05973578403216542,0.06203331418724871
"sin DP, sin recorte",0.06341183228029867,0.06674325100516944
"sin DP, sin recorte",0.06823664560597358,0.07214244686961517
"sin DP, sin recorte",0.07317633543940265,0.07604824813325675
"sin DP, sin recorte",0.07903503733486503,0.07995404939689833
"sin DP, sin recorte",0.08477886272257323,0.08489373923032739
"sin DP, sin recorte",0.08960367604824813,0.08994830557151062
"sin DP, sin recorte",0.0948879954049397,0.09557725445146467
"sin DP, sin recorte",0.10005743825387708,0.10109132682366456
"sin DP, sin recorte",0.104192992533027,0.10695002871912694
"sin DP, sin recorte",0.10786904078116025,0.11120045950603101
"sin DP, sin recorte",0.11361286616886847,0.11579551981619758
"sin DP, sin recorte",0.11763354394026422,0.12073520964962665
"sin DP, sin recorte",0.12291786329695577,0.1251005169442849
"sin DP, sin recorte",0.12808730614589317,0.12912119471568065
"sin DP, sin recorte",0.13210798391728892,0.1347501435956347
"sin DP, sin recorte",0.13578403216542217,0.14095347501435956
"sin DP, sin recorte",0.13934520390580127,0.1460080413555428
"sin DP, sin recorte",0.14451464675473866,0.1497989661114302
"sin DP, sin recorte",0.1497989661114302,0.15462377943710512
"sin DP, sin recorte",0.15519816197587594,0.16036760482481333
"sin DP, sin recorte",0.15967834577828835,0.16427340608845492
"sin DP, sin recorte",0.1649626651349799,0.168523836875359
"sin DP, sin recorte",0.17024698449167144,0.17380815623205054
"sin DP, sin recorte",0.17484204480183801,0.17736932797242963
"sin DP, sin recorte",0.17932222860425043,0.18116025272831707
"sin DP, sin recorte",0.18529580700746698,0.1874784606547961
"sin DP, sin recorte",0.1900057438253877,0.19276278001148764
"sin DP, sin recorte",0.19425617461229178,0.1967834577828834
"sin DP, sin recorte",0.200689259046525,0.2010338885697875
"sin DP, sin recorte",0.2048248133256749,0.20631820792647904
"sin DP, sin recorte",0.20953475014359563,0.2109132682366456
"sin DP, sin recorte",0.21504882251579552,0.2164273406088455
"sin DP, sin recorte",0.2196438828259621,0.22010338885697875
"sin DP, sin recorte",0.22492820218265364,0.22469844916714532
"sin DP, sin recorte",0.22871912693854107,0.2298678920160827
"sin DP, sin recorte",0.23354394026421596,0.2330844342331993
"sin DP, sin recorte",0.23779437105112006,0.23940264215967835
"sin DP, sin recorte",0.24296381390005745,0.2446869615163699
"sin DP, sin recorte",0.24778862722573233,0.24801838024124068
"sin DP, sin recorte",0.25295807007466975,0.25203905801263643
"sin DP, sin recorte",0.2597357840321654,0.2575531303848363
"sin DP, sin recorte",0.26513497989661117,0.2619184376794945
"sin DP, sin recorte",0.27030442274554856,0.2673176335439403
"sin DP, sin recorte",0.2751292360712234,0.27306145893164846
"sin DP, sin recorte",0.279035037334865,0.27937966685812754
"sin DP, sin recorte",0.2839747271682941,0.2838598506605399
"sin DP, sin recorte",0.288799540493969,0.2883400344629523
"sin DP, sin recorte",0.29534750143595634,0.29385410683515223
"sin DP, sin recorte",0.29925330269959793,0.2990235496840896
"sin DP, sin recorte",0.3039632395175187,0.3038483630097645
"sin DP, sin recorte",0.30798391728891444,0.3099368179207352
"sin DP, sin recorte",0.3130384836300976,0.3141872487076393
"sin DP, sin recorte",0.3183228029867892,0.3176335439402642
"sin DP, sin recorte",0.3231476163124641,0.32199885123492245
"sin DP, sin recorte",0.32912119471568063,0.3264790350373349
"sin DP, sin recorte",0.3333716255025847,0.3308443423319931
"sin DP, sin recorte",0.3376220562894888,0.33555427914991387
"sin DP, sin recorte",0.3418724870763929,0.34072372199885126
"sin DP, sin recorte",0.3465824238943136,0.3453187823090178
"sin DP, sin recorte",0.3511774842044802,0.3494543365881677
"sin DP, sin recorte",0.3558874210224009,0.35393452039058015
"sin DP, sin recorte",0.3609419873635841,0.35910396323951754
"sin DP, sin recorte",0.36622630672027573,0.3648477886272257
"sin DP, sin recorte",0.3721998851234922,0.37036186099942564
"sin DP, sin recorte",0.376909821941413,0.37599080987937966
"sin DP, sin recorte",0.3812751292360712,0.3819643882825962
"sin DP, sin recorte",0.38655944859276276,0.38598506605399197
"sin DP, sin recorte",0.39046524985640435,0.39046524985640435
"sin DP, sin recorte",0.39483055715106263,0.39506031016657095
"sin DP, sin recorte",0.3998851234922458,0.40114876507754166
"sin DP, sin recorte",0.40413555427914993,0.40723721998851237
"sin DP, sin recorte",0.4087306145893165,0.4122917863296956
"sin DP, sin recorte",0.4135554279149914,0.4172314761631246
"sin DP, sin recorte",0.4182653647329121,0.42274554853532453
"sin DP, sin recorte",0.42343480758184954,0.4273406088454911
"sin DP, sin recorte",0.42814474439977024,0.43228029867892015
"sin DP, sin recorte",0.43319931074095347,0.43813900057438254
"sin DP, sin recorte",0.4369902354968409,0.44353819643882825
"sin DP, sin recorte",0.4431935669155658,0.4479035037334865
"sin DP, sin recorte",0.4466398621481907,0.4530729465824239
"sin DP, sin recorte",0.4516944284893739,0.4577828834003446
"sin DP, sin recorte",0.4575531303848363,0.4631820792647903
"sin DP, sin recorte",0.4616886846639862,0.4677771395749569
"sin DP, sin recorte",0.46800689259046524,0.4737507179781735
"sin DP, sin recorte",0.4729465824238943,0.47800114876507754
"sin DP, sin recorte",0.4770821367030442,0.4835152211372774
"sin DP, sin recorte",0.4815623205054566,0.4896036760482481
"sin DP, sin recorte",0.4865020103388857,0.4950028719126939
"sin DP, sin recorte",0.4920160827110856,0.5017805858701896
"sin DP, sin recorte",0.4974152785755313,0.506950028719127
"sin DP, sin recorte",0.5023549684089603,0.5113153360137852
"sin DP, sin recorte",0.5064905226881102,0.5162550258472143
"sin DP, sin recorte",0.5126938541068351,0.5215393452039058
"sin DP, sin recorte",0.5170591614014934,0.5264790350373348
"sin DP, sin recorte",0.52165422171166,0.5314187248707639
"sin DP, sin recorte",0.5269385410683515,0.5369327972429638
"sin DP, sin recorte",0.5309592188397473,0.543365881677197
"sin DP, sin recorte",0.5364732912119472,0.5472716829408386
"sin DP, sin recorte",0.5406088454910971,0.5515221137277426
"sin DP, sin recorte",0.5445146467547387,0.5571510626076968
"sin DP, sin recorte",0.5485353245261344,0.5617461229178633
"sin DP, sin recorte",0.5525560022975301,0.5682940838598507
"sin DP, sin recorte",0.5569213095921884,0.5735784032165422
"sin DP, sin recorte",0.5639287765651925,0.5785180930499713
"sin DP, sin recorte",0.5680643308443424,0.5826536473291212
"sin DP, sin recorte",0.5724296381390006,0.5878230901780586
"sin DP, sin recorte",0.5780585870189546,0.5911545089029293
"sin DP, sin recorte",0.583917288914417,0.5951751866743251
"sin DP, sin recorte",0.5886272257323377,0.5996553704767376
"sin DP, sin recorte",0.5937966685812751,0.6055140723721999
"sin DP, sin recorte",0.6,0.6095347501435956
"sin DP, sin recorte",0.6060884549109707,0.6164273406088455
"sin DP, sin recorte",0.6110281447443998,0.6219414129810453
"sin DP, sin recorte",0.6156232050545664,0.626536473291212
"sin DP, sin recorte",0.6202182653647329,0.6315910396323952
