metodo,paso,consultas,superan_de_verdad,eps_por_consulta_ingenuo,positivas,precision,exhaustividad
vector disperso,20,30,3,0.03333333333333333,3.0,1.0,1.0
Laplace en todas,20,30,3,0.03333333333333333,3.0,1.0,1.0
vector disperso,10,60,6,0.016666666666666666,6.0125,0.9982142857142858,1.0
Laplace en todas,10,60,6,0.016666666666666666,6.03,0.9957142857142859,1.0
vector disperso,5,120,12,0.008333333333333333,10.0,0.99075,0.825625
Laplace en todas,5,120,12,0.008333333333333333,12.555,0.9576927655677656,0.9991666666666665
vector disperso,2,300,30,0.0033333333333333335,10.0,0.9540000000000001,0.31799999999999995
Laplace en todas,2,300,30,0.0033333333333333335,32.9925,0.8974050161158798,0.9845833333333335
vector disperso,1,600,60,0.0016666666666666668,10.0,0.885,0.1475
Laplace en todas,1,600,60,0.0016666666666666668,75.325,0.771004044180685,0.9654166666666666
