modelo,fpr,tpr
memorizador,0.0,0.0
memorizador,0.0001,0.0022
memorizador,0.0003,0.0084
memorizador,0.001,0.0207
memorizador,0.001,0.0208
memorizador,0.0027,0.0391
memorizador,0.0027,0.0392
memorizador,0.0042,0.0664
memorizador,0.0067,0.0949
memorizador,0.0091,0.1339
memorizador,0.0092,0.1339
memorizador,0.0092,0.1341
memorizador,0.0127,0.1761
memorizador,0.0127,0.1763
memorizador,0.0184,0.2224
memorizador,0.0184,0.2226
memorizador,0.0184,0.2227
memorizador,0.0249,0.2671
memorizador,0.0249,0.2672
memorizador,0.0313,0.3112
memorizador,0.0313,0.3114
memorizador,0.0401,0.3574
memorizador,0.0401,0.3575
memorizador,0.0499,0.4041
memorizador,0.05,0.4041
memorizador,0.0501,0.4043
memorizador,0.0614,0.4504
memorizador,0.0615,0.4504
memorizador,0.0615,0.4506
memorizador,0.0731,0.493
memorizador,0.0731,0.4932
memorizador,0.0843,0.5435
memorizador,0.0844,0.5435
memorizador,0.0844,0.5437
memorizador,0.0983,0.5919
memorizador,0.0983,0.592
memorizador,0.0986,0.592
memorizador,0.1125,0.641
memorizador,0.1126,0.6411
memorizador,0.127,0.6908
memorizador,0.127,0.6909
memorizador,0.1414,0.7408
memorizador,0.1414,0.7413
memorizador,0.157,0.7887
memorizador,0.157,0.7888
memorizador,0.1709,0.8326
memorizador,0.1709,0.8327
memorizador,0.171,0.8327
memorizador,0.171,0.8328
memorizador,0.188,0.8741
memorizador,0.188,0.8742
memorizador,0.1882,0.8742
memorizador,0.2042,0.9095
memorizador,0.2043,0.9095
memorizador,0.2043,0.9096
memorizador,0.2044,0.9096
memorizador,0.2044,0.9098
memorizador,0.2198,0.9372
memorizador,0.2199,0.9372
memorizador,0.2347,0.9594
memorizador,0.2348,0.9594
memorizador,0.254,0.9737
memorizador,0.254,0.9738
memorizador,0.2542,0.9738
memorizador,0.2542,0.9739
memorizador,0.2718,0.9831
memorizador,0.2718,0.9832
memorizador,0.2719,0.9832
memorizador,0.2719,0.9833
memorizador,0.2914,0.99
memorizador,0.2914,0.9902
memorizador,0.3075,0.9935
memorizador,0.3075,0.9936
memorizador,0.3076,0.9936
memorizador,0.324,0.9962
memorizador,0.3241,0.9962
memorizador,0.3241,0.9963
memorizador,0.3242,0.9963
memorizador,0.3242,0.9964
memorizador,0.3243,0.9964
memorizador,0.3243,0.9965
memorizador,0.3445,0.9976
memorizador,0.3445,0.9977
memorizador,0.3448,0.9977
memorizador,0.3648,0.9985
memorizador,0.365,0.9985
memorizador,0.365,0.9986
memorizador,0.3654,0.9986
memorizador,0.3848,0.9991
memorizador,0.3848,0.9992
memorizador,0.385,0.9992
memorizador,0.4019,0.9992
memorizador,0.4019,0.9993
memorizador,0.402,0.9993
memorizador,0.402,0.9994
memorizador,0.4181,0.9994
memorizador,0.4181,0.9997
memorizador,0.434,0.9997
memorizador,0.434,0.9998
memorizador,0.4341,0.9998
memorizador,0.449,0.9998
memorizador,0.449,0.9999
memorizador,0.4643,0.9999
memorizador,0.4779,0.9999
memorizador,0.478,0.9999
memorizador,0.495,0.9999
memorizador,0.495,1.0
memorizador,0.5078,1.0
memorizador,0.5083,1.0
memorizador,0.5225,1.0
memorizador,0.5358,1.0
memorizador,0.5359,1.0
memorizador,0.5483,1.0
memorizador,0.5484,1.0
memorizador,0.5651,1.0
memorizador,0.5652,1.0
memorizador,0.5804,1.0
memorizador,0.5964,1.0
memorizador,0.5965,1.0
memorizador,0.6152,1.0
memorizador,0.6317,1.0
memorizador,0.6318,1.0
memorizador,0.6482,1.0
memorizador,0.6483,1.0
memorizador,0.6658,1.0
memorizador,0.6844,1.0
memorizador,0.6845,1.0
memorizador,0.7071,1.0
memorizador,0.7072,1.0
memorizador,0.7302,1.0
memorizador,0.7304,1.0
memorizador,0.7596,1.0
memorizador,0.7599,1.0
memorizador,0.7902,1.0
memorizador,0.8341,1.0
memorizador,0.8343,1.0
memorizador,0.8345,1.0
memorizador,0.8346,1.0
memorizador,0.8845,1.0
memorizador,0.8847,1.0
memorizador,0.9388,1.0
memorizador,0.9389,1.0
memorizador,1.0,1.0
regularizado,0.0,0.0
regularizado,0.0044,0.0067
regularizado,0.0071,0.0128
regularizado,0.0112,0.02
regularizado,0.0142,0.0251
regularizado,0.0184,0.0292
regularizado,0.023,0.0347
regularizado,0.0269,0.0409
regularizado,0.0319,0.0467
regularizado,0.0355,0.0522
regularizado,0.0399,0.0574
regularizado,0.0451,0.0632
regularizado,0.0494,0.0676
regularizado,0.0535,0.0733
regularizado,0.0583,0.0796
regularizado,0.0622,0.0845
regularizado,0.0669,0.0883
regularizado,0.0718,0.093
regularizado,0.0761,0.0985
regularizado,0.0797,0.1043
regularizado,0.0837,0.1091
regularizado,0.0885,0.1143
regularizado,0.0927,0.1196
regularizado,0.0968,0.1257
regularizado,0.101,0.1299
regularizado,0.1048,0.1343
regularizado,0.109,0.1389
regularizado,0.1137,0.1432
regularizado,0.1198,0.1471
regularizado,0.1243,0.1518
regularizado,0.1288,0.1567
regularizado,0.1326,0.1616
regularizado,0.1372,0.1653
regularizado,0.1429,0.1705
regularizado,0.1473,0.1755
regularizado,0.153,0.1802
regularizado,0.1576,0.1853
regularizado,0.1631,0.1902
regularizado,0.1676,0.1943
regularizado,0.1724,0.1993
regularizado,0.1753,0.2049
regularizado,0.1796,0.2109
regularizado,0.1835,0.2157
regularizado,0.189,0.2199
regularizado,0.1931,0.2263
regularizado,0.1986,0.2315
regularizado,0.204,0.2355
regularizado,0.2079,0.2415
regularizado,0.2126,0.2475
regularizado,0.2169,0.252
regularizado,0.2214,0.258
regularizado,0.2259,0.2636
regularizado,0.2311,0.2676
regularizado,0.2367,0.2727
regularizado,0.2415,0.2772
regularizado,0.2456,0.2826
regularizado,0.25,0.2862
regularizado,0.2547,0.2912
regularizado,0.2599,0.2962
regularizado,0.2656,0.3017
regularizado,0.27,0.3072
regularizado,0.2748,0.3125
regularizado,0.2796,0.3174
regularizado,0.2842,0.3226
regularizado,0.2888,0.3275
regularizado,0.2932,0.3318
regularizado,0.2982,0.3365
regularizado,0.3025,0.3415
regularizado,0.3085,0.3474
regularizado,0.3144,0.3517
regularizado,0.3207,0.3571
regularizado,0.3251,0.3621
regularizado,0.3305,0.3682
regularizado,0.3364,0.372
regularizado,0.3417,0.3776
regularizado,0.3482,0.3817
regularizado,0.3521,0.388
regularizado,0.3568,0.3925
regularizado,0.3617,0.3972
regularizado,0.3665,0.4016
regularizado,0.3714,0.4062
regularizado,0.3764,0.4109
regularizado,0.3816,0.4154
regularizado,0.3872,0.4195
regularizado,0.392,0.4237
regularizado,0.3974,0.4277
regularizado,0.4028,0.432
regularizado,0.4064,0.4363
regularizado,0.4116,0.4404
regularizado,0.4163,0.4446
regularizado,0.4221,0.4481
regularizado,0.4271,0.4521
regularizado,0.4325,0.4569
regularizado,0.4369,0.4612
regularizado,0.4436,0.4656
regularizado,0.4495,0.4692
regularizado,0.4556,0.4738
regularizado,0.4604,0.4783
regularizado,0.4684,0.4817
regularizado,0.4731,0.4857
regularizado,0.4769,0.4898
regularizado,0.4825,0.4935
regularizado,0.4896,0.4978
regularizado,0.4945,0.5026
regularizado,0.5008,0.5081
regularizado,0.5047,0.5121
regularizado,0.5092,0.5157
regularizado,0.5148,0.5201
regularizado,0.5198,0.5254
regularizado,0.5253,0.5302
regularizado,0.5312,0.5348
regularizado,0.5355,0.5391
regularizado,0.5419,0.5428
regularizado,0.5484,0.5469
regularizado,0.553,0.5548
regularizado,0.5564,0.5626
regularizado,0.5598,0.57
regularizado,0.5638,0.5759
regularizado,0.5678,0.5823
regularizado,0.5722,0.5867
regularizado,0.5761,0.5923
regularizado,0.5803,0.5977
regularizado,0.5844,0.6029
regularizado,0.5892,0.6089
regularizado,0.5935,0.6161
regularizado,0.5974,0.6223
regularizado,0.6018,0.6276
regularizado,0.6066,0.6328
regularizado,0.6117,0.6385
regularizado,0.6162,0.6434
regularizado,0.6218,0.6475
regularizado,0.6257,0.6522
regularizado,0.6307,0.6569
regularizado,0.6349,0.6624
regularizado,0.6401,0.668
regularizado,0.6447,0.6742
regularizado,0.6507,0.678
regularizado,0.656,0.6827
regularizado,0.6612,0.6869
regularizado,0.6676,0.691
regularizado,0.6736,0.6944
regularizado,0.678,0.6982
regularizado,0.6852,0.7017
regularizado,0.6928,0.7056
regularizado,0.6993,0.7092
regularizado,0.7031,0.7166
regularizado,0.7062,0.724
regularizado,0.7104,0.7297
regularizado,0.7157,0.737
regularizado,0.721,0.7453
regularizado,0.7261,0.7504
regularizado,0.73,0.7557
regularizado,0.7347,0.7618
regularizado,0.7399,0.7667
regularizado,0.7461,0.7713
regularizado,0.7505,0.778
regularizado,0.7557,0.7829
regularizado,0.7602,0.787
regularizado,0.7647,0.7922
regularizado,0.7693,0.7977
regularizado,0.7747,0.8028
regularizado,0.7799,0.8089
regularizado,0.7848,0.8142
regularizado,0.7916,0.8215
regularizado,0.796,0.8266
regularizado,0.8011,0.8317
regularizado,0.8061,0.8364
regularizado,0.8104,0.8409
regularizado,0.815,0.8472
regularizado,0.8195,0.8522
regularizado,0.8247,0.8583
regularizado,0.8292,0.8638
regularizado,0.8348,0.8697
regularizado,0.8402,0.8753
regularizado,0.8448,0.88
regularizado,0.8495,0.8859
regularizado,0.8536,0.8899
regularizado,0.8581,0.896
regularizado,0.8649,0.9003
regularizado,0.8697,0.9044
regularizado,0.8746,0.9086
regularizado,0.8803,0.914
regularizado,0.886,0.9186
regularizado,0.8928,0.9225
regularizado,0.8987,0.9264
regularizado,0.9046,0.9309
regularizado,0.91,0.9358
regularizado,0.9161,0.9397
regularizado,0.9213,0.9448
regularizado,0.9288,0.9491
regularizado,0.9363,0.9527
regularizado,0.9424,0.9576
regularizado,0.9492,0.9611
regularizado,0.9535,0.9655
regularizado,0.9592,0.9715
regularizado,0.9632,0.9757
regularizado,0.9675,0.981
regularizado,0.9723,0.9853
regularizado,0.9775,0.99
regularizado,0.9843,0.9944
regularizado,0.994,0.9986
